epoch,teacher,baseline,standard_kd,adv_kd
1,0.2124229635179043,0.1942648576994737,2.450213764890035,2.558424473349253
2,0.05649650697310766,0.055049045350154244,0.5620005033810933,0.620765302435557
3,0.04137122041881085,0.04074879706526796,0.4237720366160075,0.48386738340059915
4,0.034433098444590964,0.03132319325854381,0.3693568372249603,0.421295435889562
5,0.02738534755433599,0.027887466990947723,0.33060832290649417,0.382663215414683
6,0.02361369524473945,0.023113567137904464,0.3052954329331716,0.3545470207532247
7,0.02162349275375406,0.019485326672717927,0.28751246849695844,0.33693821094830834
8,0.018471343623722592,0.018023567380011082,0.28145391087532046,0.323556697511673
9,0.018312224591802807,0.016930477496779835,0.26671141877174376,0.312698240852356
10,0.016656790379807353,0.013409907819734265,0.2569921238978704,0.3058433687766393
11,0.012992533157300205,0.013435054634371772,0.2518480169137319,0.2968998335202535
12,0.0128586348805887,0.012665164505969733,0.24489731186230979,0.2915911911805471
13,0.010460643438862946,0.011195008190403071,0.24022135675748188,0.28538567390441894
14,0.013089584768734251,0.00999864593068293,0.23191395071347554,0.28018147013982136
15,0.009731695470167324,0.011763576532050502,0.23010486654440562,0.27531705799102785
