epoch,teacher,baseline,standard_kd,adv_training,adv_kd
1,0.2193616812268893,0.19938313991924128,2.4274513559977215,0.25888271792729695,2.6550388109842937
2,0.05819351211388906,0.057794358626008034,0.5721418261845906,0.08738429590264957,0.642400548362732
3,0.04251597543756167,0.04101733689159155,0.4376343946933746,0.06295894436438879,0.5028581095059713
4,0.03428032037516435,0.03321787590061625,0.376007958316803,0.050597478076815604,0.4428089050292969
5,0.03046011248504122,0.027252619635686277,0.3449538477579753,0.04051982219219208,0.4056124030431112
6,0.024371858218374353,0.0221593969133993,0.31577133391698203,0.03667236121197542,0.38486462173461916
7,0.022843208211908737,0.020810430164821446,0.30379769430160525,0.031944943011800446,0.3649814822038015
8,0.021810457328458627,0.01866402031217391,0.28993042996724444,0.028713365049411854,0.35240995349884036
9,0.016642965343470376,0.016136353713584444,0.2830783313035965,0.0246651945506533,0.34296096178690594
10,0.016223666667286307,0.015080699739667277,0.26934317382176715,0.022156696933756274,0.33055693419774373
11,0.01579503860264085,0.01364834546521306,0.2640348427772522,0.01914499739234646,0.3269699291865031
12,0.012542271173807481,0.01236017926329126,0.2587680042425791,0.018313162958001096,0.3208893215497335
13,0.012867930694165019,0.011043934135340775,0.25173382550875345,0.017376426073536278,0.31357395137151084
14,0.011060076327458956,0.01020727401993548,0.24583464856147766,0.016288312061689795,0.30967523937225344
15,0.010755905393123006,0.009835935180680827,0.2457714831352234,0.01468650274798274,0.30467098806699117
