model,attack,epsilon,accuracy
baseline,clean,0.0,0.9942
baseline,fgsm,0.0,0.9941999999999999
baseline,fgsm,0.01,0.9918
baseline,fgsm,0.02,0.9889
baseline,fgsm,0.05,0.9737
baseline,fgsm,0.1,0.9133999999999999
baseline,fgsm,0.2,0.6549
baseline,pgd,0.0,0.9941999999999999
baseline,pgd,0.01,0.9917666666666666
baseline,pgd,0.02,0.9884
baseline,pgd,0.05,0.9656666666666668
baseline,pgd,0.1,0.7809333333333334
baseline,pgd,0.2,0.011566666666666664
standard_kd,clean,0.0,0.9946
standard_kd,fgsm,0.0,0.9946
standard_kd,fgsm,0.01,0.9918
standard_kd,fgsm,0.02,0.9882
standard_kd,fgsm,0.05,0.9738000000000001
standard_kd,fgsm,0.1,0.9194
standard_kd,fgsm,0.2,0.6472
standard_kd,pgd,0.0,0.9946
standard_kd,pgd,0.01,0.9918
standard_kd,pgd,0.02,0.9873666666666666
standard_kd,pgd,0.05,0.9654000000000001
standard_kd,pgd,0.1,0.7685333333333334
standard_kd,pgd,0.2,0.002933333333333333
adv_training,clean,0.0,0.9945
adv_training,fgsm,0.0,0.9945
adv_training,fgsm,0.01,0.9939
adv_training,fgsm,0.02,0.9933
adv_training,fgsm,0.05,0.9899
adv_training,fgsm,0.1,0.9828
adv_training,fgsm,0.2,0.9571999999999999
adv_training,pgd,0.0,0.9945
adv_training,pgd,0.01,0.9939
adv_training,pgd,0.02,0.9928333333333333
adv_training,pgd,0.05,0.9879000000000001
adv_training,pgd,0.1,0.9708666666666667
adv_training,pgd,0.2,0.6663
adv_kd,clean,0.0,0.9946
adv_kd,fgsm,0.0,0.9946
adv_kd,fgsm,0.01,0.9927
adv_kd,fgsm,0.02,0.991
adv_kd,fgsm,0.05,0.9827
adv_kd,fgsm,0.1,0.9666
adv_kd,fgsm,0.2,0.8613
adv_kd,pgd,0.0,0.9946
adv_kd,pgd,0.01,0.9927
adv_kd,pgd,0.02,0.991
adv_kd,pgd,0.05,0.9814666666666666
adv_kd,pgd,0.1,0.9446333333333333
adv_kd,pgd,0.2,0.3541
