epoch,teacher,baseline,standard_kd,adv_training,adv_kd
1,0.21604555602471034,0.1990774957080682,2.5373588843027752,0.28253049553632736,2.661202286974589
2,0.059573626101017,0.05553902507424355,0.5588470652421316,0.08930359437863032,0.6094715247154235
3,0.04373400273025036,0.04126307085504134,0.4312289046605428,0.06569009650448958,0.46781497146288553
4,0.03372133521139622,0.03341648111393054,0.37585761931737266,0.05261930589576562,0.41095556694666546
5,0.03013871763745944,0.02778706263676286,0.34350182132720947,0.045688035131494206,0.3767136306285858
6,0.024251200858006874,0.025102257906148832,0.31267536902427673,0.03922115493640304,0.3514288399855296
7,0.021436588136355083,0.02057015598118305,0.30068363726933794,0.034427319037914274,0.33308991821606954
8,0.019596106910333037,0.01929595865678663,0.285778343518575,0.030779745383063953,0.3237344897588094
9,0.0174654803680256,0.015485272163649401,0.27505746920903523,0.027187728873391947,0.3156154915173848
10,0.01451914549038435,0.015336054840466629,0.26716459069252013,0.023710193932677308,0.3041520801862081
11,0.015161380294710397,0.014272889167629182,0.26054930400848386,0.021496631216381987,0.300185191933314
12,0.014850414085357139,0.011699881830361362,0.2514504004398982,0.02009843361179034,0.29437932006518047
13,0.013511829844831178,0.010681943609293861,0.2501351174672445,0.01817920715883374,0.2889784899552663
14,0.011169739615016928,0.011204952291381779,0.24160483271280925,0.017275334533552327,0.2850003939628601
15,0.010588358583231457,0.010039277319043565,0.23900260356267294,0.016003658914845436,0.2812865343570709
