model,attack,epsilon,accuracy
baseline,clean,0.0,0.993
baseline,fgsm,0.0,0.993
baseline,fgsm,0.01,0.9902000000000001
baseline,fgsm,0.02,0.9871
baseline,fgsm,0.05,0.9689
baseline,fgsm,0.1,0.9061
baseline,fgsm,0.2,0.6637
baseline,pgd,0.0,0.993
baseline,pgd,0.01,0.9901333333333332
baseline,pgd,0.02,0.9868
baseline,pgd,0.05,0.9635000000000001
baseline,pgd,0.1,0.7939000000000002
baseline,pgd,0.2,0.0099
standard_kd,clean,0.0,0.994
standard_kd,fgsm,0.0,0.9940000000000001
standard_kd,fgsm,0.01,0.9918
standard_kd,fgsm,0.02,0.9893
standard_kd,fgsm,0.05,0.9781
standard_kd,fgsm,0.1,0.9353000000000001
standard_kd,fgsm,0.2,0.7276000000000001
standard_kd,pgd,0.0,0.9940000000000001
standard_kd,pgd,0.01,0.9916
standard_kd,pgd,0.02,0.9893
standard_kd,pgd,0.05,0.9728
standard_kd,pgd,0.1,0.8801666666666667
standard_kd,pgd,0.2,0.08393333333333335
adv_training,clean,0.0,0.9942
adv_training,fgsm,0.0,0.9941999999999999
adv_training,fgsm,0.01,0.9934
adv_training,fgsm,0.02,0.9925
adv_training,fgsm,0.05,0.9894
adv_training,fgsm,0.1,0.9815999999999999
adv_training,fgsm,0.2,0.9491
adv_training,pgd,0.0,0.9941999999999999
adv_training,pgd,0.01,0.9934
adv_training,pgd,0.02,0.9923333333333333
adv_training,pgd,0.05,0.9889
adv_training,pgd,0.1,0.9757333333333333
adv_training,pgd,0.2,0.7669333333333334
adv_kd,clean,0.0,0.994
adv_kd,fgsm,0.0,0.9940000000000001
adv_kd,fgsm,0.01,0.9927
adv_kd,fgsm,0.02,0.9914
adv_kd,fgsm,0.05,0.9851
adv_kd,fgsm,0.1,0.9662000000000001
adv_kd,fgsm,0.2,0.8619
adv_kd,pgd,0.0,0.9940000000000001
adv_kd,pgd,0.01,0.9927
adv_kd,pgd,0.02,0.9914
adv_kd,pgd,0.05,0.9824333333333334
adv_kd,pgd,0.1,0.9385333333333333
adv_kd,pgd,0.2,0.2927666666666667
